"","from","to","database","source"
"1","A2M","MMP2","omnipath","omnipath"
"2","A2M","MMP9","omnipath","omnipath"
"3","A2M","LRP1","omnipath","omnipath"
"4","A2M","KLK3","omnipath","omnipath"
"5","AANAT","MTNR1A","nichenet_verschueren","nichenet_verschueren"
"6","AANAT","MTNR1B","nichenet_verschueren","nichenet_verschueren"
"7","ABCA1","APOA1","omnipath","omnipath"
"8","ABCA1","MEGF10","omnipath","omnipath"
"9","ACE","BDKRB2","omnipath","omnipath"
"10","ACE","AGTR2","omnipath","omnipath"
"11","ACE2","TNFRSF11B","nichenet_verschueren","nichenet_verschueren"
"12","ACE2","TNFRSF11A","nichenet_verschueren","nichenet_verschueren"
"13","ACE2","SLC6A19","omnipath","omnipath"
"14","ACE2","TIGIT","omnipath","omnipath"
"15","ACP4","VSTM2B","omnipath","omnipath"
"16","ACP4","ERBB4","omnipath","omnipath"
"17","ADAM10","APP","omnipath","omnipath"
"18","ADAM10","NOTCH2","omnipath","omnipath"
"19","ADAM10","NOTCH3","omnipath","omnipath"
"20","ADAM10","TSPAN33","omnipath","omnipath"
"21","ADAM10","CD44","omnipath","omnipath"
"22","ADAM10","NOTCH1","omnipath","omnipath"
"23","ADAM10","TSPAN5","omnipath","omnipath"
"24","ADAM10","TSPAN15","omnipath","omnipath"
"25","ADAM10","TSPAN10","omnipath","omnipath"
"26","ADAM10","TSPAN14","omnipath","omnipath"
"27","ADAM10","TSPAN17","omnipath","omnipath"
"28","ADAM10","EPHA3","omnipath","omnipath"
"29","ADAM10","AXL","omnipath","omnipath"
"30","ADAM10","NOTCH4","omnipath","omnipath"
"31","ADAM11","ITGA4","omnipath","omnipath"
"32","ADAM11","CCR4","omnipath","omnipath"
"33","ADAM12","SDC4","omnipath","omnipath"
"34","ADAM12","ITGB1","omnipath","omnipath"
"35","ADAM12","ITGA9","omnipath","omnipath"
"36","ADAM15","ITGA5","nichenet_verschueren","nichenet_verschueren"
"37","ADAM15","ITGA9","nichenet_verschueren","nichenet_verschueren"
"38","ADAM15","ITGB1","nichenet_verschueren","nichenet_verschueren"
"39","ADAM15","ITGB3","nichenet_verschueren","nichenet_verschueren"
"40","ADAM17","MUC1","omnipath","omnipath"
"41","ADAM17","NOTCH1","omnipath","omnipath"
"42","ADAM17","ITGB1","omnipath","omnipath"
"43","ADAM17","IL6R","omnipath","omnipath"
"44","ADAM17","ERBB4","omnipath","omnipath"
"45","ADAM17","ITGA5","omnipath","omnipath"
"46","ADAM17","NOTCH4","omnipath","omnipath"
"47","ADAM17","NOTCH3","omnipath","omnipath"
"48","ADAM17","NOTCH2","omnipath","omnipath"
"49","ADAM2","ITGB1","omnipath","omnipath"
"50","ADAM2","CD9","omnipath","omnipath"
"51","ADAM2","ITGA6","omnipath","omnipath"
"52","ADAM2","ITGB7","omnipath","omnipath"
"53","ADAM2","ITGA9","omnipath","omnipath"
"54","ADAM20","IL1RAPL2","omnipath","omnipath"
"55","ADAM20","IL1RAPL1","omnipath","omnipath"
"56","ADAM21","FLT4","nichenet_verschueren","nichenet_verschueren"
"57","ADAM21","CLEC12B","omnipath","omnipath"
"58","ADAM21","IGSF21","omnipath","omnipath"
