"","from","to","database","source"
"1","2300002M23Rik","Ddr1","omnipath","omnipath"
"2","2610528A11Rik","Gpr15","omnipath","omnipath"
"3","9530003J23Rik","Itgal","omnipath","omnipath"
"4","a","Atrn","omnipath","omnipath"
"5","a","F11r","omnipath","omnipath"
"6","a","Mc1r","omnipath","omnipath"
"7","a","Mc2r","omnipath","omnipath"
"8","a","Mc3r","omnipath","omnipath"
"9","a","Mc4r","omnipath","omnipath"
"10","a","Mc5r","omnipath","omnipath"
"11","a","Mgrn1","nichenet_verschueren","nichenet_verschueren"
"12","A2m","Klk1b22","omnipath","omnipath"
"13","A2m","Klk1b9","omnipath","omnipath"
"14","A2m","Klk1","omnipath","omnipath"
"15","A2m","Klk1b11","omnipath","omnipath"
"16","A2m","Klk1b16","omnipath","omnipath"
"17","A2m","Klk1b21","omnipath","omnipath"
"18","A2m","Klk1b24","omnipath","omnipath"
"19","A2m","Klk1b26","omnipath","omnipath"
"20","A2m","Klk1b27","omnipath","omnipath"
"21","A2m","Klk1b5","omnipath","omnipath"
"22","A2m","Klk1b1","omnipath","omnipath"
"23","A2m","Klk1b8","omnipath","omnipath"
"24","A2m","Klk1b4","omnipath","omnipath"
"25","A2m","Klk1b3","omnipath","omnipath"
"26","A2m","Lrp1","omnipath","omnipath"
"27","A2m","Mmp2","omnipath","omnipath"
"28","A2m","Mmp9","omnipath","omnipath"
"29","Aanat","Mtnr1a","nichenet_verschueren","nichenet_verschueren"
"30","Aanat","Mtnr1b","nichenet_verschueren","nichenet_verschueren"
"31","Abca1","Apoa1","omnipath","omnipath"
"32","Abca1","Megf10","omnipath","omnipath"
"33","Ace","Agtr2","omnipath","omnipath"
"34","Ace","Bdkrb2","omnipath","omnipath"
"35","Ace2","Slc6a19","omnipath","omnipath"
"36","Ace2","Tigit","omnipath","omnipath"
"37","Ace2","Tnfrsf11a","nichenet_verschueren","nichenet_verschueren"
"38","Ace2","Tnfrsf11b","nichenet_verschueren","nichenet_verschueren"
"39","Acp4","Erbb4","omnipath","omnipath"
"40","Acp4","Vstm2b","omnipath","omnipath"
"41","Adam10","App","omnipath","omnipath"
"42","Adam10","Axl","omnipath","omnipath"
"43","Adam10","Cd44","omnipath","omnipath"
"44","Adam10","Epha3","omnipath","omnipath"
"45","Adam10","Notch1","omnipath","omnipath"
"46","Adam10","Notch2","omnipath","omnipath"
"47","Adam10","Notch3","omnipath","omnipath"
"48","Adam10","Notch4","omnipath","omnipath"
"49","Adam10","Tspan10","omnipath","omnipath"
"50","Adam10","Tspan14","omnipath","omnipath"
"51","Adam10","Tspan15","omnipath","omnipath"
"52","Adam10","Tspan17","omnipath","omnipath"
"53","Adam10","Tspan33","omnipath","omnipath"
"54","Adam10","Tspan5","omnipath","omnipath"
"55","Adam11","Ccr4","omnipath","omnipath"
"56","Adam11","Itga4","omnipath","omnipath"
"57","Adam12","Itga9","omnipath","omnipath"
"58","Adam12","Itgb1","omnipath","omnipath"
"59","Adam12","Sdc4","omnipath","omnipath"
"60","Adam15","Itga5","nichenet_verschueren","nichenet_verschueren"
"61","Adam15","Itga9","nichenet_verschueren","nichenet_verschueren"
"62","Adam15","Itgb1","nichenet_verschueren","nichenet_verschueren"
"63","Adam15","Itgb3","nichenet_verschueren","nichenet_verschueren"
"64","Adam17","Erbb4","omnipath","omnipath"
"65","Adam17","Il6ra","omnipath","omnipath"
"66","Adam17","Itga5","omnipath","omnipath"
"67","Adam17","Itgb1","omnipath","omnipath"
"68","Adam17","Muc1","omnipath","omnipath"
"69","Adam17","Notch1","omnipath","omnipath"
"70","Adam17","Notch2","omnipath","omnipath"
"71","Adam17","Notch3","omnipath","omnipath"
"72","Adam17","Notch4","omnipath","omnipath"
"73","Adam2","Cd9","omnipath","omnipath"
"74","Adam2","Itga6","omnipath","omnipath"
"75","Adam2","Itga9","omnipath","omnipath"
"76","Adam2","Itgb1","omnipath","omnipath"
"77","Adam2","Itgb7","omnipath","omnipath"
"78","Adam20","Il1rapl1","omnipath","omnipath"
"79","Adam20","Il1rapl2","omnipath","omnipath"
"80","Adam21","Clec12b","omnipath","omnipath"
"81","Adam21","Flt4","nichenet_verschueren","nichenet_verschueren"
"82","Adam21","Igsf21","omnipath","omnipath"
"83","Adam23","Itga5","nichenet_verschueren","nichenet_verschueren"
"84","Adam23","Itgb3","nichenet_verschueren","nichenet_verschueren"
"85","Adam25","Il1rapl1","omnipath","omnipath"
"86","Adam25","Il1rapl2","omnipath","omnipath"
"87","Adam28","Itga4","omnipath","omnipath"
"88","Adam29","Itga4","omnipath","omnipath"
"89","Adam39","Il1rapl1","omnipath","omnipath"
"90","Adam39","Il1rapl2","omnipath","omnipath"
"91","Adam7","Itga4","omnipath","omnipath"
"92","Adam7","Itgb7","omnipath","omnipath"
"93","Adam9","Itga6","nichenet_verschueren","nichenet_verschueren"
"94","Adam9","Itgav","nichenet_verschueren","nichenet_verschueren"
"95","Adam9","Itgb1","nichenet_verschueren","nichenet_verschueren"
"96","Adam9","Itgb5","nichenet_verschueren","nichenet_verschueren"
"97","Adamts3","Ccbe1","omnipath","omnipath"
"98","Adcyap1","Adcyap1r1","omnipath","omnipath"
"99","Adcyap1","Sctr","omnipath","omnipath"
"100","Adcyap1","Vipr1","omnipath","omnipath"
"101","Adcyap1","Vipr2","omnipath","omnipath"
"102","Adgrb1","Rtn4r","omnipath","omnipath"
"103","Adgre5","Cd55","omnipath","omnipath"
"104","Adgre5","Cd55b","omnipath","omnipath"
"105","Adgrf5","Treml2","nichenet_verschueren","nichenet_verschueren"
"106","Adipoq","Adipor1","omnipath","omnipath"
"107","Adipoq","Adipor2","omnipath","omnipath"
"108","Adipoq","Cnr2","omnipath","omnipath"
"109","Adipoq","Ffar3","omnipath","omnipath"
"110","Adm","Calcr","omnipath","omnipath"
"111","Adm","Calcrl","omnipath","omnipath"
"112","Adm","Gpr182","omnipath","omnipath"
