ligand_human_symbol,receptor_human_symbol,ligand_human_ensembl,receptor_human_ensembl,ligand_mouse_symbol,receptor_mouse_symbol,ligand_mouse_ensembl,receptor_mouse_ensembl,database,source
A2M,MMP2,ENSG00000175899,ENSG00000087245,A2m,Mmp2,ENSMUSG00000030111,ENSMUSG00000031740,omnipath,omnipath
A2M,MMP9,ENSG00000175899,ENSG00000100985,A2m,Mmp9,ENSMUSG00000030111,ENSMUSG00000017737,omnipath,omnipath
A2M,LRP1,ENSG00000175899,ENSG00000123384,A2m,Lrp1,ENSMUSG00000030111,ENSMUSG00000040249,omnipath,omnipath
A2M,KLK3,ENSG00000175899,ENSG00000142515,A2m,NA,ENSMUSG00000030111,NA,omnipath,omnipath
AANAT,MTNR1A,ENSG00000129673,ENSG00000168412,Aanat,Mtnr1a,ENSMUSG00000020804,ENSMUSG00000054764,nichenet_verschueren,nichenet_verschueren
AANAT,MTNR1B,ENSG00000129673,ENSG00000134640,Aanat,Mtnr1b,ENSMUSG00000020804,ENSMUSG00000050901,nichenet_verschueren,nichenet_verschueren
ABCA1,APOA1,ENSG00000165029,ENSG00000118137,Abca1,Apoa1,ENSMUSG00000015243,ENSMUSG00000032083,omnipath,omnipath
ABCA1,MEGF10,ENSG00000165029,ENSG00000145794,Abca1,Megf10,ENSMUSG00000015243,ENSMUSG00000024593,omnipath,omnipath
ACE,BDKRB2,ENSG00000159640,ENSG00000168398,Ace,Bdkrb2,ENSMUSG00000020681,ENSMUSG00000021070,omnipath,omnipath
ACE,AGTR2,ENSG00000159640,ENSG00000180772,Ace,Agtr2,ENSMUSG00000020681,ENSMUSG00000068122,omnipath,omnipath
ACE2,TNFRSF11B,ENSG00000130234,ENSG00000164761,Ace2,Tnfrsf11b,ENSMUSG00000015405,ENSMUSG00000063727,nichenet_verschueren,nichenet_verschueren
ACE2,TNFRSF11A,ENSG00000130234,ENSG00000141655,Ace2,Tnfrsf11a,ENSMUSG00000015405,ENSMUSG00000026321,nichenet_verschueren,nichenet_verschueren
ACE2,SLC6A19,ENSG00000130234,ENSG00000174358,Ace2,Slc6a19,ENSMUSG00000015405,ENSMUSG00000021565,omnipath,omnipath
ACE2,TIGIT,ENSG00000130234,ENSG00000181847,Ace2,Tigit,ENSMUSG00000015405,ENSMUSG00000071552,omnipath,omnipath
ACP4,VSTM2B,ENSG00000142513,ENSG00000187135,Acp4,Vstm2b,ENSMUSG00000012777,ENSMUSG00000039257,omnipath,omnipath
ACP4,ERBB4,ENSG00000142513,ENSG00000178568,Acp4,Erbb4,ENSMUSG00000012777,ENSMUSG00000062209,omnipath,omnipath
ADAM10,APP,ENSG00000137845,ENSG00000142192,Adam10,App,ENSMUSG00000054693,ENSMUSG00000022892,omnipath,omnipath
ADAM10,NOTCH2,ENSG00000137845,ENSG00000134250,Adam10,Notch2,ENSMUSG00000054693,ENSMUSG00000027878,omnipath,omnipath
ADAM10,NOTCH3,ENSG00000137845,ENSG00000074181,Adam10,Notch3,ENSMUSG00000054693,ENSMUSG00000038146,omnipath,omnipath
ADAM10,TSPAN33,ENSG00000137845,ENSG00000158457,Adam10,Tspan33,ENSMUSG00000054693,ENSMUSG00000001763,omnipath,omnipath
ADAM10,CD44,ENSG00000137845,ENSG00000026508,Adam10,Cd44,ENSMUSG00000054693,ENSMUSG00000005087,omnipath,omnipath
ADAM10,NOTCH1,ENSG00000137845,ENSG00000148400,Adam10,Notch1,ENSMUSG00000054693,ENSMUSG00000026923,omnipath,omnipath
