human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
ENSG00000121410,A1BG,ENSMUSG00000022347,A1bg
ENSG00000175899,A2M,ENSMUSG00000030111,A2m
ENSG00000166535,A2ML1,NA,NA
ENSG00000118017,A4GNT,ENSMUSG00000037953,A4gnt
ENSG00000197953,AADACL2,ENSMUSG00000091376,Aadacl2
ENSG00000115657,ABCB6,ENSMUSG00000026198,Abcb6
ENSG00000168792,ABHD15,ENSMUSG00000000686,Abhd15
ENSG00000164074,ABHD18,ENSMUSG00000037818,Abhd18
ENSG00000154175,ABI3BP,ENSMUSG00000035258,Abi3bp
ENSG00000175164,ABO,ENSMUSG00000015787,Abo
ENSG00000076555,ACACB,ENSMUSG00000042010,Acacb
ENSG00000157766,ACAN,ENSMUSG00000030607,Acan
ENSG00000159640,ACE,ENSMUSG00000020681,Ace
ENSG00000130234,ACE2,ENSMUSG00000015405,Ace2
ENSG00000087085,ACHE,ENSMUSG00000023328,Ache
ENSG00000014257,ACP3,ENSMUSG00000032561,Acp3
ENSG00000102575,ACP5,ENSMUSG00000001348,Acp5
ENSG00000162836,ACP6,ENSMUSG00000028093,Acp6
ENSG00000183760,ACP7,ENSMUSG00000037469,Acp7
ENSG00000100312,ACR,ENSMUSG00000022622,Acr
ENSG00000111644,ACRBP,ENSMUSG00000072770,Acrbp
ENSG00000134940,ACRV1,ENSMUSG00000032110,Acrv1
ENSG00000123612,ACVR1C,ENSMUSG00000026834,Acvr1c
ENSG00000139567,ACVRL1,ENSMUSG00000000530,Acvrl1
ENSG00000093072,ADA2,NA,NA
ENSG00000137845,ADAM10,ENSMUSG00000054693,Adam10
ENSG00000148848,ADAM12,ENSMUSG00000054555,Adam12
ENSG00000168619,ADAM18,ENSMUSG00000031552,Adam18
ENSG00000114948,ADAM23,ENSMUSG00000025964,Adam23
ENSG00000042980,ADAM28,ENSMUSG00000014725,Adam28
ENSG00000168594,ADAM29,ENSMUSG00000046258,Adam29
ENSG00000069206,ADAM7,ENSMUSG00000022056,Adam7
ENSG00000151651,ADAM8,ENSMUSG00000025473,Adam8
ENSG00000168615,ADAM9,ENSMUSG00000031555,Adam9
ENSG00000134028,ADAMDEC1,ENSMUSG00000022057,Adamdec1
ENSG00000154734,ADAMTS1,ENSMUSG00000022893,Adamts1
ENSG00000142303,ADAMTS10,ENSMUSG00000024299,Adamts10
ENSG00000151388,ADAMTS12,ENSMUSG00000047497,Adamts12
ENSG00000160323,ADAMTS13,ENSMUSG00000014852,Adamts13
ENSG00000138316,ADAMTS14,ENSMUSG00000059901,Adamts14
ENSG00000166106,ADAMTS15,ENSMUSG00000033453,Adamts15
ENSG00000145536,ADAMTS16,ENSMUSG00000049538,Adamts16
ENSG00000140470,ADAMTS17,ENSMUSG00000058145,Adamts17
ENSG00000140873,ADAMTS18,ENSMUSG00000053399,Adamts18
ENSG00000145808,ADAMTS19,ENSMUSG00000053441,Adamts19
ENSG00000087116,ADAMTS2,ENSMUSG00000036545,Adamts2
ENSG00000173157,ADAMTS20,ENSMUSG00000022449,Adamts20
ENSG00000156140,ADAMTS3,ENSMUSG00000043635,Adamts3
ENSG00000158859,ADAMTS4,ENSMUSG00000006403,Adamts4
ENSG00000154736,ADAMTS5,ENSMUSG00000022894,Adamts5
ENSG00000049192,ADAMTS6,ENSMUSG00000046169,Adamts6
ENSG00000136378,ADAMTS7,ENSMUSG00000032363,Adamts7
ENSG00000134917,ADAMTS8,ENSMUSG00000031994,Adamts8
ENSG00000163638,ADAMTS9,ENSMUSG00000030022,Adamts9
ENSG00000178031,ADAMTSL1,ENSMUSG00000066113,Adamtsl1
ENSG00000197859,ADAMTSL2,ENSMUSG00000036040,Adamtsl2
ENSG00000156218,ADAMTSL3,ENSMUSG00000070469,Adamtsl3
ENSG00000143382,ADAMTSL4,ENSMUSG00000015850,Adamtsl4
ENSG00000185761,ADAMTSL5,ENSMUSG00000043822,Adamtsl5
ENSG00000141433,ADCYAP1,ENSMUSG00000024256,Adcyap1
ENSG00000152990,ADGRA3,ENSMUSG00000029090,Adgra3
